软件名称,RPM名称,软件包名称,功能说明,详细情况,依赖关系
squashfs-tools,squashfs-tools-4.5-r0.aarch64.rpm,squashfs-tools,用于创建squashfs文件系统的实用程序,squashfs是Linux的高度压缩只读文件系统。此软件包包含用于操作squashfs文件系统的实用程序。,libc6 >= 2.34+10.3.1 liblzma5 >= 5.2.5 liblzo2-2 >= 2.10 libz1 >= 1.2.11 lz4 >= 1.9.3 
strace,strace-5.14-r0.aarch64.rpm,strace,跟踪和显示与正在运行的进程关联的系统调用,strace程序拦截并记录运行进程调用和接收的系统调用。strace可以打印每个系统调用、其参数和返回值的记录。strace对于诊断问题和调试以及教学目的都很有用。,libc6 >= 2.34+10.3.1 
sysfsutils,libsysfs2-2.1.1-r5.aarch64.rpm,libsysfs2,sysfsutils的主库,此包包含运行与sysfsutils动态链接的程序所需的库。libsysfs库允许访问系统设备。,libc6 >= 2.34+10.3.1 
sysfsutils,sysfsutils-2.1.1-r5.aarch64.rpm,sysfsutils,提供与sysfs接口的实用程序,,libc6 >= 2.34+10.3.1 libsysfs2 >= 2.1.1 
tcl,libtcl8.6-0-8.6.12-r0.aarch64.rpm,libtcl8.6-0,tcl的共享库,,libc6 >= 2.34+10.3.1 libz1 >= 1.2.11 
tcl,tcl-8.6.12-r0.aarch64.rpm,tcl,Tcl编程语言,Tcl（工具命令语言）是一种非常强大但易于学习的动态编程语言，适用于非常广泛的用途，包括web和桌面应用程序、网络、管理、测试等。,libc6 >= 2.34+10.3.1 libtcl8.6-0 >= 8.6.12 
tzdata,tzdata-core-2022a-r0.aarch64.rpm,tzdata-core,时区说明,描述可用时区的配置文件。,
update-rc.d,update-rc.d-0.8-r0.noarch.rpm,update-rc.d,管理/etc/rcN.d中的符号链接,,
util-linux,libblkid1-2.37.2-r0.aarch64.rpm,libblkid1,块设备ID库,块设备识别库，util-linux的一部分。,libc6 >= 2.34+10.3.1 
util-linux,libfdisk1-2.37.2-r0.aarch64.rpm,libfdisk1,文件系统检测库,用于文件系统检测的库。,libblkid1 >= 2.37.2 libc6 >= 2.34+10.3.1 libuuid1 >= 2.37.2 
util-linux,libmount1-2.37.2-r0.aarch64.rpm,libmount1,设备挂载库,设计用于低级实用程序的库，如mount(8)和/usr/sbin/mount,libblkid1 >= 2.37.2 libc6 >= 2.34+10.3.1 
util-linux,util-linux-su-2.37.2-r0.aarch64.rpm,util-linux-su,用于变更为其他使用者的身份,提供su命令，用于变更使用者身份,libc6 >= 2.34+10.3.1 libpam >= 1.5.2 update-alternatives-opkg
util-linux,util-linux-sulogin-2.37.2-r0.aarch64.rpm,util-linux-sulogin,进行单用户登录,,libc6 >= 2.34+10.3.1 libcrypt1 >= 1.0+10.3.1 update-alternatives-opkg
util-linux-libuuid,libuuid1-2.37.2-r0.aarch64.rpm,libuuid1,用于生成UUIDs的库,,libc6 >= 2.34+10.3.1 
xz,liblzma5-5.2.5-r0.aarch64.rpm,liblzma5,Lempel–Ziv–Markov 链算法压缩库,用于编码/解码LZMA文件的库。,libc6 >= 2.34+10.3.1 
xz,xz-5.2.5-r0.aarch64.rpm,xz,LZMA压缩实用程序,XZ Utils试图使LZMA压缩易于在自由（如自由）操作系统上使用。这是通过提供类似于使用的工具和库来实现的，而不是最流行的现有压缩算法的等效工具和库。LZMA是由伊戈尔·巴甫洛夫设计的通用压缩算法，作为7-Zip的一部分。它提供了高压缩比，同时保持了快速的解压缩速度。,libc6 >= 2.34+10.3.1 liblzma5 >= 5.2.5 update-alternatives-opkg
yajl,yajl-2.1.0-r0.aarch64.rpm,yajl,又一个JSON库(YAJL),又是一个JSON库。YAJL是一个用ANSI C编写的小型事件驱动（SAX风格）JSON解析器，也是一个小型验证JSON生成器。,libc6 >= 2.34+10.3.1 
zlib,libz1-1.2.11-r0.aarch64.rpm,libz1,实现DEFLATE压缩算法的库,zlib是一个通用的无损数据压缩库，实现了DEFLATE算法的API，例如gzip和ZIP存档格式正在使用后者。,libc6 >= 2.34+10.3.1 
