软件名称,RPM名称,软件包名称,功能说明,详细情况,依赖关系
libpwquality,libpwquality-1.4.4-r0.aarch64.rpm,libpwquality,密码生成和密码质量检查库,这是一个用于密码质量检查和生成通过检查的随机密码的库。此库使用破解库和破解库字典执行一些检查。,cracklib >= 2.9.7 libc6 >= 2.34+10.3.1 libpam >= 1.5.2 
libseccomp,libseccomp-2.5.3-r0.aarch64.rpm,libseccomp,增强的seccomp库,libseccomp库为Linux内核的syscall过滤机制（seccomp）提供了一个易于使用的接口。libseccomp API允许应用程序指定允许应用程序执行哪些syscall，以及可选的哪些syscall参数，所有这些都由Linux内核强制执行。,libc6 >= 2.34+10.3.1 
libselinux,libselinux1-3.3-r0.aarch64.rpm,libselinux1,SELinux运行时库,libselinux提供了一个接口，用于获取和设置进程和文件安全上下文，以及获取安全策略决策。（安全增强的Linux是内核和一些实施强制性访问控制策略的实用程序的一个功能，如类型实施、基于角色的访问控制和多级安全。）,libc6 >= 2.34+10.3.1 libpcre1 >= 8.45 libselinux1 >= 3.3 libsepol2 >= 3.3 
libselinux,libselinux-bin-3.3-r0.aarch64.rpm,libselinux-bin,SELinux libselinux实用程序,"libselinux-bin软件包包含实用程序,",libc6 >= 2.34+10.3.1 libpcre1 >= 8.45 
libsemanage,libsemanage2-3.3-r0.aarch64.rpm,libsemanage2,SELinux策略管理库,libsemanage是策略管理库。使用libsepol和libselinux与SELinux系统交互，它还调用帮助程序来加载策略和检查file_contexts配置是否有效。,audit >= 3.0.1 libbz2-1 >= 1.0.8 libc6 >= 2.34+10.3.1 libselinux1 >= 3.3 libsepol2 >= 3.3 
libsepol,libsepol2-3.3-r0.aarch64.rpm,libsepol2,SELinux二进制策略操作库,提供SELinux二进制策略操作库,libc6 >= 2.34+10.3.1 libsepol2 >= 3.3 
libsepol,libsepol-bin-3.3-r0.aarch64.rpm,libsepol-bin,SELinux二进制策略操作工具,libsepol提供了一个用于操作SELinux二进制策略的API。它由checkpolicy（策略编译器）和类似的工具，以及需要对二进制策略执行特定转换（如自定义策略布尔设置）的程序使用。,libc6 >= 2.34+10.3.1 
libtirpc,libtirpc3-1.3.2-r0.aarch64.rpm,libtirpc3,与传输无关的RPC库,传输独立RPC库(TI-RPC)是glibc中不支持IPv6地址的标准SunRPC库的替代。此实现允许支持UDP和TCP over IPv4以外的其他传输。,libc6 >= 2.34+10.3.1 
libunistring,libunistring2-0.9.10-r0.aarch64.rpm,libunistring2,GNU Unicode字符串库,该库实现了Unicode字符串（有三种风格：UTF-8字符串、UTF-16字符串和UTF-32字符串），以及Unicode字符集函数（字符名、分类、属性）和字符串处理函数（格式化输出、宽度、分词、换行、规范化、大小写折叠、正则表达式）。,libc6 >= 2.34+10.3.1 
libusb,libusb-1.0-0-1.0.24-r0.aarch64.rpm,libusb-1.0-0,USB库,Libusb是一个允许用户空间访问USB设备的库。,libc6 >= 2.34+10.3.1 
libuv,libuv1-1.42.0-r0.aarch64.rpm,libuv1,异步I/O支持库,,libc6 >= 2.34+10.3.1 
libwebsockets,libwebsockets19-4.3.0-r0.aarch64.rpm,libwebsockets19,用于Websockets的轻量级C库,这是用于轻量级websocket客户端和服务器的libwebsockets C库。,libc6 >= 2.34+10.3.1 libuv1 >= 1.42.0 libwebsockets19 >= 4.3.0 
libwebsockets,libwebsockets-evlib-uv-4.3.0-r0.aarch64.rpm,libwebsockets-evlib-uv,提供libwebsockets-evlib_uv.so,,libc6 >= 2.34+10.3.1 libcrypto1.1 >= 1.1.1m libssl1.1 >= 1.1.1m libwebsockets-evlib-uv 
libxcrypt-external,libcrypt1-1.0+10.3.1-r0.aarch64.rpm,libcrypt1,用于DES、MD5、Blowfish等的扩展加密库,,glibc-external 
libxml2,libxml2-2.9.14-r0.aarch64.rpm,libxml2,提供XML和HTML支持的库,此库允许操作XML文件。它包括读取、修改和写入XML和HTML文件的支持。DTD支持，这包括解析和验证，即使是复杂的DtD，可以在解析时或在修改文档后更晚。输出可以是简单的SAX流，也可以是内存中类似DOM的表示。在这种情况下，可以使用内置的XPath和XPointer实现来选择子节点或范围。提供灵活的输入/输出机制，具有现有的HTTP和FTP模块，并组合到URI库。,libc6 >= 2.34+10.3.1 libz1 >= 1.2.11 
libxml2,libxml2-utils-2.9.14-r0.aarch64.rpm,libxml2-utils,用于操作XML文件的实用程序,此软件包包含用于操作XML文件的实用程序。,libc6 >= 2.34+10.3.1 libxml2 >= 2.9.14 
logrotate,logrotate-3.20.1-r0.aarch64.rpm,logrotate,用于旋转、压缩、邮寄和删除系统日志文件的Cron服务,logrotate实用程序自动旋转、压缩、邮寄和删除日志文件。Logrotate可以设置为每天、每周、每月或当日志文件达到一定大小时处理日志文件。通常，logrotate作为每日cron作业运行。它只管理普通文件，不参与systemd的日志轮换。, libacl1 >= 2.3.1 libc6 >= 2.34+10.3.1 libpopt0 >= 1.18 
lvm2,lvm2-2.03.14-r0.aarch64.rpm,lvm2,Userland逻辑卷管理工具,LVM2包括处理物理卷（硬盘、RAID系统、磁光等，多个设备（MD），请参阅mdm(8)，甚至环路设备，请参见Lostup(8))上的读/写操作的所有支持，从一个或多个物理卷创建卷组（虚拟磁盘种类），并在卷组中创建一个或多个逻辑卷（逻辑分区种类）。,libaio1 >= 0.3.112 libblkid1 >= 2.37.2 libc6 >= 2.34+10.3.1 
lvm2,lvm2-scripts-2.03.14-r0.aarch64.rpm,lvm2-scripts,提供blkdeactivate、fsadm、lvmdum命令,提供/usr/sbin/blkdeactivate、/usr/sbin/fsadm和/usr/sbin/lvmdump,bash lvm2 = 2.03.14-r0 
lxc,lxc-4.0.3-r0.aarch64.rpm,lxc,Linux内核容器的用户空间工具,LXC是众所周知的、经过严格测试的低层次Linux容器运行时。,libc6 >= 2.34+10.3.1 libcap >= 2.61 libgcc-s1 >= 10.3.1+10.3.1 libseccomp >= 2.5.3 yajl >= 2.1.0
lz4,lz4-1.9.3-r0.aarch64.rpm,lz4,基于散列的预测Lempel–Ziv压缩器,LZ4是一种无损数据压缩算法，专注于压缩和解压缩速度。它属于面向字节压缩方案的LZ77（Lempel–Ziv）家族。它是一个LZP2分叉，为文本文件提供更好的压缩比。,libc6 >= 2.34+10.3.1 
lzo,liblzo2-2-2.10-r0.aarch64.rpm,liblzo2-2,实时数据压缩库,LZO是一个以ANSI C编写的便携式无损数据压缩库。解压缩不需要内存。LZO适用于实时数据压缩和解压缩。这意味着它有利于速度超过压缩比。,libc6 >= 2.34+10.3.1 
modutils-initscripts,modutils-initscripts-1.0-r7.aarch64.rpm,modutils-initscripts,启动时自动加载内核模块的初始化脚本,,
ncurses,libform5-6.3-r0.aarch64.rpm,libform5,libform动态库,提供/usr/lib64/libform.so.*,libc6 >= 2.34+10.3.1 libncurses5 >= 6.3 
ncurses,libmenu5-6.3-r0.aarch64.rpm,libmenu5,libmenu动态库,提供/usr/lib64/libmenu.so.*,libc6 >= 2.34+10.3.1 libncurses5 >= 6.3 
ncurses,libncurses5-6.3-r0.aarch64.rpm,libncurses5,libncurses动态库,提供/lib64/libncurses.so.*,libc6 >= 2.34+10.3.1 libtinfo5 >= 6.3 
ncurses,libpanel5-6.3-r0.aarch64.rpm,libpanel5,libpanel动态库,提供/usr/lib64/libpanel.so.*,libc6 >= 2.34+10.3.1 libncurses5 >= 6.3 
ncurses,libtinfo5-6.3-r0.aarch64.rpm,libtinfo5,libtinfo动态库,提供/lib64/libtinfo.so.*,libc6 >= 2.34+10.3.1 
ncurses,ncurses-6.3-r0.aarch64.rpm,ncurses,CRT屏幕处理和优化包,提供/usr/bin/tput、/usr/bin/tset功能,libc6 >= 2.34+10.3.1 libtinfo5 >= 6.3 
ncurses,ncurses-terminfo-6.3-r0.aarch64.rpm,ncurses-terminfo,终端描述数据库,这是ncures包中维护的术语信息基本数据库。此数据库是4.4BSD术语帽文件的官方继承者，包含有关任何已知终端的信息。ncures库利用此数据库正确使用终端。,ncurses-terminfo-base update-alternatives-opkg
ncurses,ncurses-terminfo-base-6.3-r0.aarch64.rpm,ncurses-terminfo-base,提供终端信息基础,提供/etc/terminfo/*,
nettle,nettle-3.8.1-r0.aarch64.rpm,nettle,加密工具,Nettle是一个加密库，设计用于或多或少地适应任何环境：面向对象语言（C++、Python、Pike等）的加密工具包，LSH或GNUPG等应用程序，甚至内核空间。,libc6 >= 2.34+10.3.1 libgmp10 >= 6.2.1 
nfs-utils,nfs-utils-2.5.4-r0.aarch64.rpm,nfs-utils,NFS实用程序以及内核NFS服务器的支持客户端和守护程序,nfs-utils软件包为内核NFS服务器和相关工具提供了一个守护程序，它提供了比大多数用户使用的传统Linux NFS服务器更高的性能级别。,initd-functions libblkid1 >= 2.37.2 libc6 >= 2.34+10.3.1 libtirpc3 >= 1.3.2 libuuid1 >= 2.37.2 nfs-utils-client 
